"id","address","sheet","label","type","format","formula","value","rules","version"
"6950","TLAC4",NULL,"Maint % Yearly","float","0,0%",NULL,"0.18",NULL,"749"
"6951","TLAD4",NULL,"Maint Cost","float","$0,0.00",NULL,"1620",NULL,"749"
"6952","TLED4",NULL,"Storage (TB)","float","0,0.00",NULL,"12",NULL,"749"
"6953","TLAA5",NULL,"Server Types","text",NULL,NULL,"C5026",NULL,"749"
"6954","TLAB5",NULL,"Server Cost","float","$0,0.00",NULL,"9000",NULL,"749"
"6955","TLAC5",NULL,"Maint % Yearly","float","0,0%",NULL,"0.18",NULL,"749"
"6956","TLAD5",NULL,"Maint Cost","float","$0,0.00",NULL,"1620",NULL,"749"
"6957","TLED5",NULL,"Storage (TB)","float","0,0.00",NULL,"24",NULL,"749"
"6958","TLAA6",NULL,"Server Types","text",NULL,NULL,"C5036",NULL,"749"
"6959","TLAB6",NULL,"Server Cost","float","$0,0.00",NULL,"9575",NULL,"749"
"6960","TLAC6",NULL,"Maint % Yearly","float","0,0%",NULL,"0.18",NULL,"749"
"6961","TLAD6",NULL,"Maint Cost","float","$0,0.00",NULL,"1723.5",NULL,"749"
"6962","TLED6",NULL,"Storage (TB)","float","0,0.00",NULL,"36",NULL,"749"
"6963","TLAA7",NULL,"Server Types","text",NULL,NULL,"C5066",NULL,"749"
"6964","TLAB7",NULL,"Server Cost","float","$0,0.00",NULL,"9000",NULL,"749"
"6965","TLAC7",NULL,"Maint % Yearly","float","0,0%",NULL,"0.18",NULL,"749"
"6966","TLAD7",NULL,"Maint Cost","float","$0,0.00",NULL,"1620",NULL,"749"
"6967","TLED7",NULL,"Storage (TB)","float","0,0.00",NULL,"54",NULL,"749"
"6968","TLAA8",NULL,"Server Text","text",NULL,NULL,"C6025",NULL,"749"
"6969","TLAA9",NULL,"Server Text","text",NULL,NULL,"C6035",NULL,"749"
"6970","TLAA10",NULL,"Server Text","text",NULL,NULL,"C6045",NULL,"749"
"6971","TLAA11",NULL,"Server Text","text",NULL,NULL,"C6055",NULL,"749"
"6972","TLAA12",NULL,"Server Text","text",NULL,NULL,"C8205",NULL,"749"
"6973","TLAA13",NULL,"Server Text","text",NULL,NULL,"C8305",NULL,"749"
"6974","TLAA14",NULL,"Server Text","text",NULL,NULL,"C8405",NULL,"749"
"6975","TLAA15",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-12",NULL,"749"
"6976","TLAA16",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-24",NULL,"749"
"6977","TLAA17",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-36",NULL,"749"
"6978","TLAA18",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-Flash",NULL,"749"
"6979","TLAA19",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-Compute",NULL,"749"
"6980","TLAA20",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-ROBO-16",NULL,"749"
"6981","TLAA21",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M5-ROBO-8",NULL,"749"
"6982","TLAA22",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C220 M6 -Flash 76",NULL,"749"
"6983","TLAA23",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M5-120",NULL,"749"
"6984","TLAA24",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M5-144",NULL,"749"
"6985","TLAA25",NULL,"Server Text","text",NULL,NULL,"Cisco UCS C240 M5-48",NULL,"749"
